ID,modelling_mask,prediction_mask,Mean_LST,NDVI,Build_ANN12,Build_ANN23,Build_ANN34,Build,dist_centre,dist_water,eastness,elevation,glass,Hard_ANN12,Hard_ANN23,Hard_ANN34,hard,mixed,Nat_ANN12,Nat_ANN23,Nat_ANN34,nat,northness,slope
52515,1,1,14.11244833,0.82231243,0,0,0,0,5568.966797,4193.333008,0.214608893,30.78310585,0,0,0,0,0,0,100,100,100,100,-0.976700127,1.323555946
129625,0,0,0,-0.243437727,0,0,0,0,4202.770508,0,-0.017452391,-1.480000019,-3.40282E+38,0,0,0,0,-3.40282E+38,0,0,0,0,0.99984771,0
105816,1,1,18.12791395,0.333638631,12.280056,10.24444485,11.43144703,10.66666698,4082.018799,2190.756104,0.161509603,36.97503281,0,11.41499615,10.95645905,12.96448803,47.55555725,41.77777863,14.50571632,32.51576233,38.71320343,0,-0.986871123,0.750604391
100424,1,1,12.83507967,0.731669545,0,0,0.837962925,0,5292.313477,241.9285431,0.551276326,1.993996143,0,0.100704931,0,1.273148179,0,0,99.02924347,100,97.8888855,100,0.83432281,5.455221653
30100,1,1,15.96442151,0.630293265,15.3405447,14.56566238,13.07633781,20.11173248,2932.306641,2097.310547,0.942629874,78.1164856,0,28.05651093,18.22883797,23.18466187,29.27374268,42.68156433,12.29862118,10.74133396,14.98906422,7.93296051,-0.333839715,1.740454793
113327,0,0,17.36195993,0.091521543,0.34591195,0.267645001,6.74136591,0,3678.587158,0,0.839691818,-0.529352129,0,99.65409088,97.61198425,85.34096527,0,0,0,2.120370388,7.917665958,0,0.543063283,21.14406395
87363,1,1,20.71399021,0.168401878,35.2899704,47.47727966,33.6896553,43.11111069,1310.062134,90.02262878,-0.907092512,2.477574587,0,63.74707031,45.29941177,59.49089432,56.88888931,0,0.009259259,1.572586775,2.213981867,0,0.420931309,0.867978573
67243,1,1,16.48676372,0.655644402,15.11082363,5.575376511,8.286953926,19.11111259,1095.172607,1300.057617,-0.358747512,26.94464874,0,14.45670414,30.49279785,18.70352745,0,71.77777863,37.72197723,48.84539413,55.2744751,9.111110687,0.933434725,0.076884672
44563,1,1,14.8314271,0.763762861,0,0.005555556,2.611111403,0,3104.874512,2989.480469,0.819008887,34.04137421,0,1.694444537,5.683333397,9.029163361,1.666666746,0,98.30555725,94.18333435,84.08657837,98.33333588,-0.573780775,4.852841854
121451,1,1,14.32745397,0.735298857,0,0,0,0,4013.614014,212.185379,0.90519923,6.226337433,0,0.537559807,0.686576366,0.230748996,0,0,99.46244049,99.31342316,99.76924896,100,0.424987495,1.563655019
118597,1,1,16.01380754,0.69921644,9.756544113,12.4930954,13.34698868,0,4144.953125,966.3174438,-0.790581524,26.72663307,0,19.52515984,17.91502953,14.96510887,3.2150774,0,70.71829224,69.59187317,69.37744141,96.78491211,-0.612356782,0.32685551
85844,1,1,17.14140677,0.608874947,16.47253227,12.64658642,15.38475227,25.77777863,6788.141602,108.1937332,0.01377714,3.337253332,0,7.541506767,12.55001068,11.05628204,0,74.22222137,25.64705658,35.89708328,39.35904694,0,-0.999905109,1.482545137
105267,0,1,15.51180625,0.647650316,17.12060738,17.67935371,21.39377594,0,2530.972168,361.3386841,0.986644089,2.953994274,0,36.01905441,42.84725189,45.54646301,12.77777863,0,44.50844574,34.28448105,24.50420761,87.22222137,0.162891001,0.218336225
137760,0,0,0,-0.285338239,0,0,0,0,4834.568359,0,-0.017452391,-1.480000019,-3.40282E+38,0,0,0,0,-3.40282E+38,0,0,0,0,0.99984771,0
125401,0,0,0,-0.068611197,0,0,0.18095769,0,4179.567383,84.87415314,-0.7819345,0.725006938,-3.40282E+38,0,15.47619057,11.9842701,0,-3.40282E+38,0,84.52381134,87.8347702,0,-0.623360574,0.53355217
99293,1,1,19.76037455,0.271454569,32.15740585,38.97605515,33.04411316,0,2096.666504,573.293335,-0.376661509,3.926779985,0,62.22222137,45.90946198,46.24761581,100,0,5.462962627,14.74195766,17.93556404,0,-0.926351011,0.129167229
3503,1,1,14.54246342,0.788345903,0,0,0.666512549,0,6535.447266,3558.773193,0.957090676,80.43698883,0,3.564814806,1.339648962,2.598825455,0,0,94.82763672,91.90908813,88.68836975,100,0.289788514,3.616882563
71924,1,1,16.51988769,0.624753729,13.93365383,7.5654459,7.148148537,21.44444466,1567.588989,1712.797363,0.771109879,22.90608025,0,17.29432297,21.66900635,15.4934845,0,78.55555725,22.3627758,29.65681839,23.32290077,0,0.636702001,3.140693426
52274,1,1,14.45582497,0.670641571,6.972221851,7.038888931,9.79629612,0,2180.662842,2421.889404,0.270448893,38.47890472,0,13.89814854,12.9317112,13.4067812,38.22222519,0.333333343,51.37963104,48.39606476,48.85470963,61.44444275,-0.962734282,2.057169676
133212,0,1,13.03398025,0.76221405,0,0.577777743,1.792186856,0,6877.490723,402.5934448,-0.553680003,5.285900116,0,0,0,0.694444478,0,0,92.8704834,82.19444275,74.26438141,100,-0.832729518,2.340512514
59836,1,1,15.03291166,0.804080144,0,0,0,0,5564.356445,371.172821,0.900614619,7.905651093,0,0,5.705524445,15.89258003,0,0,100,94.08569336,79.51870728,100,0.434618711,0.09721683
